name,word,count,positive,negative,review_ids
felt,felt,3,100,0,"['nqnqAqKeLPDTKmp7t_7s0A', 'qLJZyg5zbPdnu7yEOWcS4Q', 'BhAqY5yi14TBm5eDeTlUDg']"
chance,chance,3,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q', '1TFEy7twpPcFPXPPZvRVBw']"
tasso,tasso,3,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'vHbn8Kek20VfdXtr-QXUVg', 'QZ3cfoU3qRyjDtbPnvcsPw']"
louisiannes,louisiannes,2,100,0,"['ypNwIPenE77OJ9klbBYZow', 'Shfqe7csAXA6zXsuox_QcQ']"
friends,friends,7,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'AnRtrp3uAEZWJIJfiuVchw', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'WlB4wq4ry4FRru9uxy4XZg', '6R4MnLqSUftZnP701hHYKQ', 'JVrGn1gjDLr4c2aDke9IXQ', 'Y1esjrYEnPYGUzfXstQkCQ']"
meals,meals,2,100,0,"['9FQQxVdSk_4xuqIBzvUN9g', 'QZ3cfoU3qRyjDtbPnvcsPw']"
wife,wife,2,50,50,"['_LzAvouyQOmUpu_Fei97og', 'r-OH_PlJVEf8JZifHssnHg']"
walked,walked,2,100,0,"['6R4MnLqSUftZnP701hHYKQ', 'vHbn8Kek20VfdXtr-QXUVg']"
cooked,cooked,3,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '1TFEy7twpPcFPXPPZvRVBw', 'AnRtrp3uAEZWJIJfiuVchw']"
time,time,10,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'vHbn8Kek20VfdXtr-QXUVg', 'sjQxKIdhrhwbRTvn8XVt_Q', 'Xk41xO66IDmDfsHxcU9lbw', 'uwv745L_6dRM4YzKvfM4Gw', 'ENQgulGSN9rYU9BlCtKM4Q', '1TFEy7twpPcFPXPPZvRVBw', 'Y1esjrYEnPYGUzfXstQkCQ', 'QZ3cfoU3qRyjDtbPnvcsPw']"
fresh,fresh,5,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'jIBNaoFtydbke3n1oVNr_A', 'BhAqY5yi14TBm5eDeTlUDg', 'HX8SuA-ss6kFraRe3eiHZQ', 'AnRtrp3uAEZWJIJfiuVchw']"
sounded,sounded,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
